ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
97,"Changes in anti-nutrient, phytochemical, and micronutrient contents of different processed rubber (Hevea brasiliensis) seed meals",Agbai C.M.; Olawuni I.A.; Ofoedu C.E.; Ibeabuchi C.J.; Okpala C.O.R.; Shorstkii I.; Korzeniowska M.,PeerJ,10.7717/peerj.11327,2021,Food and nutrition,Rubber,Hevea brasiliensis
98,The Potential of Oyster Nuts (Telfairia pedata) for Environmental Conservation and Food Security in Tanzania: A Review,Shayo P.F.; Mbega E.R.; Treydte A.C.,Human Ecology,10.1007/s10745-021-00249-6,2021,Food and nutrition,Oyster nuts ,Telfairia pedata
99,"Synthesis, characterization, and functional properties of a novel sodium carboxymethyl starch obtained from matured seeds of Brachystegia eurycoma",Atuchukwu E.; Adedokun M.; Emeje M.,Egyptian Pharmaceutical Journal,10.4103/epj.epj_61_20,2021,Food and nutrition,,Brachystegia eurycoma
100,Physicochemical characteristics of modified starch granules from Durio zibethinus Murr. var. Bintana,Hardiyanti R.; Suharman S.; Sinaga M.Z.E.; Mahendra I.P.; Hartanto A.,AIP Conference Proceedings,10.1063/5.0045547,2021,Food and nutrition,Durian,Durio zibethinus Murr.
101,In Vitro Element Bioavailability Studies of Some Underutilized Seeds in Southeast Nigeria,Ajala L.O.; Okafor M.C.; Ndukwe M.K.; Okoro O.E.; Ogundele G.J.; Ogundele R.B.,Biological Trace Element Research,10.1007/s12011-020-02507-y,2021,Food and nutrition,,"Mucuna sloanei, Brachystegia eurycoma and Detarium microcarpum"
102,Total phenolic content and antioxidant activity in eight cowpea ( Vigna unguiculata) genotypes,Yusnawan E.; Inayati A.; Baliadi Y.,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/924/1/012047,2021,Food and nutrition,Cowpea,Vigna unguiculata
103,"Potential oil resources from underutilized seeds of Sterculia foetida, L. - Quality assessment and chemical profiling with other edible vegetable oils based on fatty acid composition, oxidative stability, antioxidant activity and cytotoxicity",Bose R.; Bhattacharya E.; Pramanik A.; Hughes T.A.; Biswas S.M.,Biocatalysis and Agricultural Biotechnology,10.1016/j.bcab.2021.102002,2021,Food and nutrition,,"Sterculia foetida, L."
104,Development and validation of a real-time PCR assay to detect Cannabis sativa in food,Weck S.; Peterseil V.; Mayer H.K.; Hochegger R.,Scientific Reports,10.1038/s41598-021-83908-4,2021,Food and nutrition,Hemp,Cannabis sativa
105,Morphological and chemical diversity and antioxidant capacity of the service tree (Sorbus domestica L.) fruits from two eco?geographical regions,Poljak I.; Vah?i? N.; Liber Z.; Tumpa K.; Pintar V.; Zegnal I.; Vidakovi? A.; Valkovi? B.; Kajba D.; Idžojti? M.,Plants,10.3390/plants10081691,2021,Food and nutrition,Service tree ,Sorbus domestica L.
106,A novel underutilized starch resource— Lucuma nervosa A.DC seed and fruit,Li B.; Zhang Y.; Zhang Y.; Zhang Y.; Xu F.; Zhu K.; Huang C.,Food Hydrocolloids,10.1016/j.foodhyd.2021.106934,2021,Food and nutrition,Lucuma nervosa ,Pouteria campechiana / Lucuma nervosa
107,"Western chimpanzees (Pan troglodytes verus) access a nutritionally balanced, high energy, and abundant food, baobab (Adansonia digitata) fruit, with extractive foraging and reingestion",Lindshield S.; Rothman J.M.; Ortmann S.; Pruetz J.D.,American Journal of Primatology,10.1002/ajp.23307,2021,Food and nutrition,Baobab fruit,Adansonia digitata
108,Predictive genotype-phenotype relations using genetic diversity in African yam bean (Sphenostylis stenocarpa (Hochst. ex. A. Rich) Harms),Aina A.; Garcia-Oliveira A.L.; Ilori C.; Chang P.L.; Yusuf M.; Oyatomi O.; Abberton M.; Potter D.,BMC Plant Biology,10.1186/s12870-021-03302-0,2021,Food and nutrition,African yam bean,Sphenostylis stenocarpa (Hochst. ex. A. Rich) Harms
109,"Nutritional Composition, Techno-Functional Properties and Sensory Analysis of Pan Bread Fortified with Kenaf Seeds Dietary Fibre; [(Komposisi Pemakanan, Sifat Tekno-Fungsi dan Analisis Sensori Roti Pan Diperkaya dengan Serat Pemakanan Biji Kenaf)]",Ramlan N.A.F.M.; Mohammad S.M.; Muhammad S.K.S.; Zawawi N.; Karim R.; Ismail M.,Sains Malaysiana,10.17576/jsm-2021-5011-12,2021,Food and nutrition,Kenaf seeds,
110,"Mid-infrared spectroscopy as a rapid tool to qualitatively predict the effects of species, regions and roasting on the nutritional composition of australian acacia seed species",Adiamo O.Q.; Sultanbawa Y.; Cozzolino D.,Molecules,10.3390/molecules26071879,2021,Food and nutrition,Acacia,
111,Distribution of antioxidants in different parts of Moringa oleifera seedlings,Mohammed F.; Tesfay S.Z.; Modi A.T.; Mabhaudhi T.; Chimonyo V.G.P.,Acta Horticulturae,10.17660/ActaHortic.2021.1306.19,2021,Food and nutrition,,Moringa oleifera
112,"Effect of roasting on the chemical composition, functional characterisation and antioxidant activities of three varieties of marble vine (Dioclea reflexa): An underutilised plant",Ajatta M.A.; Akinola S.A.; Osundahunsi O.F.; Omoba O.S.,Heliyon,10.1016/j.heliyon.2021.e07107,2021,Food and nutrition,Marble vine,ioclea reflexa
113,"Effect of harvesting stage, form and duration of storage on some physico-chemical properties of Korarima (Afframomum (Braun) P.C.M. Jansen) collected from Masha Woreda, Sheka Zone, Southwestern, Ethiopia",Hailegeorgis A.; Anbesse D.,Heliyon,10.1016/j.heliyon.2021.e08271,2021,Food and nutrition,Korarima,Afframomum (Braun) P.C.M. Jansen
114,Proteomics variation in Nigella sativa L. (rananculaceae) germplasm,Iqbal M.S.; Ghafoor A.,Bangladesh Journal of Botany,10.3329/BJB.V50I2.54084,2021,Food and nutrition,,Nigella sativa L.
115,Assessment of genetic diversity of pumpkins (Cucurbita spp.) from western Kenya using SSR molecular markers,Nyabera L.A.; Nzuki I.W.; Runo S.M.; Amwayi P.W.,Molecular Biology Reports,10.1007/s11033-021-06245-9,2021,Food and nutrition,Pumpkin,Cucurbita spp.
116,"Nutritional, anti-nutritional, antioxidant, physicochemical and functional characterization of Australian acacia seed: effect of species and regions",Adiamo O.Q.; Netzel M.E.; Hoffman L.C.; Gidley M.J.; Sultanbawa Y.,Journal of the Science of Food and Agriculture,10.1002/jsfa.11113,2021,Food and nutrition,Australian acacia,"Acacia victoriae, Acacia cowleana and Acacia coriacea"
117,"Physical and Structural Characterization of Underutilized Climate-Resilient Seed Grains: Millets, Sorghum, and Amaranth",Geisen S.; Krishnaswamy K.; Myers R.,Frontiers in Sustainable Food Systems,10.3389/fsufs.2021.599656,2021,Food and nutrition,"Millets (barnyard, finger, kodo, little, pearl, proso), Sorghum, and Amaranth",
118,"Dual?purpose of the winged bean (Psophocarpus tetragonolobus (l.) dc.), the neglected tropical legume, based on pod and tuber yields",Sriwichai S.; Monkham T.; Sanitchon J.; Jogloy S.; Chankaew S.,Plants,10.3390/plants10081746,2021,Food and nutrition,Winged bean,Psophocarpus tetragonolobus (l.) dc.
119,"Molecular Hallmarks, Agronomic Performances and Seed Nutraceutical Properties to Exploit Neglected Genetic Resources of Common Beans Grown by Organic Farming in Two Contrasting Environments",Sica P.; Scariolo F.; Galvao A.; Battaggia D.; Nicoletto C.; Maucieri C.; Palumbo F.; Franklin D.; Cabrera M.; Borin M.; Sambo P.; Barcaccia G.,Frontiers in Plant Science,10.3389/fpls.2021.674985,2021,Food and nutrition,Common beans,Phaseolus vulgaris L.
120,Biochemical Composition of Pulp and Seed of Wild Jack (Artocarpus hirsutus Lam.) Fruit,Solanki S.; Bhardwaj R.; Vasudeva R.; Chourey S.; Archak S.,Plant Foods for Human Nutrition,10.1007/s11130-020-00849-5,2020,Food and nutrition,Wild jack,Artocarpus hirsutus Lam.
121,"PHYSICO-CHEMICAL, PROXIMATE, MINERAL AND BIOACTIVE COMPOSITION OF_GARCINIA BUCHANANII BAKER FRUIT FROM UGANDA AND RWANDA",Omujal F.; Okullo J.B.L.; Bigirimana C.; Isubikalu P.; Agea J.G.; Malinga M.; Obaa B.B.; Bizuru E.,"African Journal of Food, Agriculture, Nutrition and Development",10.18697/AJFAND.105.19970,2021,Food and nutrition,,Garcinia buchananii Baker
122,Grain mineral nutrient profiling and iron bioavailability of an ancient crop tef (Eragrostis tef),Ligaba-Osena A.; Mengistu M.; Beyene G.; Cushman J.; Glahn R.; Piñeros M.,Australian Journal of Crop Science,10.21475/ajcs.21.15.10.p3264,2021,Food and nutrition,Tef,Eragrostis tef
123,Preliminary assessment of the association between dart-seq snp some nutritional traits in African yam bean,Oluwole O.O.; Olomitutu O.E.; Paliwal R.; Oyatomi O.A.; Abberton M.T.; Obembe O.O.,Tropical Journal of Natural Product Research,10.26538/tjnpr/v4i11.5,2020,Food and nutrition,African yam bean,
124,Physical and functional properties of ancient grains and flours and their potential contribution to sustainable food processing,Nani M.; Krishnaswamy K.,International Journal of Food Properties,10.1080/10942912.2021.1975740,2021,Food and nutrition,"Barnyard millet, finger millet, little millet, sorghum",
125,"Phytochemical contents, antioxidant activity and functional properties of Raphanus sativus L, Eruca sativa L. and Hibiscus sabdariffa L. growing in Ethiopia",Keyata E.O.; Tola Y.B.; Bultosa G.; Forsido S.F.,Heliyon,10.1016/j.heliyon.2021.e05939,2021,Food and nutrition,Karkade,Hibiscus sabdariffa L.
126,ISSR-PCR approach as a means of studying genetic variation in moth bean (Vigna aconitifolia (Jacq.) Maréchal),Bhadkaria A.; Gupta N.; Narvekar D.T.; Bhadkariya R.; Saral A.; Srivastava N.; Koul K.K.; Bhagyawant S.S.,Biocatalysis and Agricultural Biotechnology,10.1016/j.bcab.2020.101827,2020,Food and nutrition,Moth bean,Vigna aconitifolia (Jacq.) Maréchal
127,Evaluation of antioxidant activity and protein denaturation inhibition of selected underutilized fruits grown in sri lanka,Hettiarachchi H.A.C.O.; Jayatilake S.; Gunathilake K.D.P.P.,Journal of Food and Nutrition Research,,2021,Food and nutrition,,"Phyllanthus emblica, Elaeocarpus serratus,  Annona squamosa, Annona reticulata and Annona muricata"
128,Multifunctional hydrolysates from kenaf (Hibiscus cannabinus L.) seed protein with high antihypertensive activity in vitro and in vivo,Zaharuddin N.D.; Hanafi M.A.; Chay S.Y.; Hussin F.S.; Auwal S.M.; Zarei M.; Sarbini S.R.; Wan Ibadullah W.Z.; Karim R.; Saari N.,Journal of Food Measurement and Characterization,10.1007/s11694-020-00663-2,2021,Food and nutrition,Kenaf,Hibiscus cannabinus L.
129,"Pulp and peel of unripe stenospermocarpic mango (Mangifera indica L. cv Ataulfo) as an alternative source of starch, polyphenols and dietary fibre",Patiño-Rodríguez O.; Bello-Pérez L.A.; Agama-Acevedo E.; Pacheco-Vargas G.,Food Research International,10.1016/j.foodres.2020.109719,2020,Food and nutrition,Stenospermocarpic mango,Mangifera indica L. cv Ataulfo
130,"Changes in anti-nutrient, phytochemical, and micronutrient contents of different processed rubber (Hevea brasiliensis) seed meals",Agbai C.M.; Olawuni I.A.; Ofoedu C.E.; Ibeabuchi C.J.; Okpala C.O.R.; Shorstkii I.; Korzeniowska M.,PeerJ Computer Science,10.7717/peerj.11327,2021,Food and nutrition,Rubber,Hevea brasiliensis
131,Bioactive Compounds of Jack Beans (Canavalia Species),Sridhar K.R.; Sharma B.B.,Reference Series in Phytochemistry,10.1007/978-3-030-57415-4_26,2021,Food and nutrition,Jack beans,Canavalia Species
132,"Nutritional quality of formulated complementary diet from defatted almond seed, yellow maize and quality protein maize flours",Adesanmi A.R.; Malomo S.A.; Fagbemi T.N.,"Food Production, Processing and Nutrition",10.1186/s43014-020-00037-7,2020,Food and nutrition,Almond seeds,Prunus amygdalus
133,Phytochemical and mineral composition of fruits and seeds of wild-growing Bactris guineensis (L.) H.E. Moore palms from Costa Rica,Er?an S.; Berning J.C.; Esquivel P.; Jiménez V.M.; Carle R.; May B.; Schweiggert R.; Steingass C.B.,Journal of Food Composition and Analysis,10.1016/j.jfca.2020.103611,2020,Food and nutrition,Moore palms,Bactris guineensis (L.) H.E.
134,"Harnessing the Hidden Treasures in African Yam Bean (Sphenostylis stenocarpa), an Underutilized Grain Legume with Food Security Potentials",Ojuederie O.B.; Popoola J.O.; Aremu C.; Babalola O.O.,Food Security and Safety: African Perspectives,10.1007/978-3-030-50672-8_1,2021,Food and nutrition,African yam bean,Sphenostylis stenocarpa
135,Bioactive Compounds of Amaranth (Genus Amaranthus),Gandhi P.; Samarth R.M.; Peter K.,Reference Series in Phytochemistry,10.1007/978-3-030-57415-4_3,2021,Food and nutrition,Amaranth ,Genus Amaranthus
136,Characterization and evaluation of mountain sweet thorn (Flacourtia montana J. Grah) collections,Tripathi P.C.; Ganeshan S.; Radhika V.; Shetti D.L.,Journal of Horticultural Sciences,10.24154/JHS.2021.V16I01.002,2021,Food and nutrition,Mountain sweet thorn,Flacourtia montana J. Grah
137,Isolation of prebiotics from artocarpus integer's seed,Wong J.-C.-J.; Hii S.-L.; Koh C.-C.,International Journal of Food Science,10.1155/2021/9940078,2021,Food and nutrition,,artocarpus integer
138,African Yam Bean the Choice for Climate Change Resilience: Need for Conservation and Policy,Nnamani C.V.; Adewale D.B.; Oselebe H.O.; Atkinson C.J.,African Handbook of Climate Change Adaptation: With 610 Figures and 361 Tables,10.1007/978-3-030-45106-6_203,2021,Food and nutrition,African yam bean,
139,"Effect of cultivar and maturity on functional properties, low molecular weight carbohydrate, and antioxidant activity of Jackfruit seed flour",Kushwaha R.; Fatima N.T.; Singh M.; Singh V.; Kaur S.; Puranik V.; Kumar R.; Kaur D.,Journal of Food Processing and Preservation,10.1111/jfpp.15146,2021,Food and nutrition,Jackfruit ,
140,Studies on different concentrations of alcohol-alkaline and acid-alcohol methods of modification on some functional properties of starch from selected underutilized legumes,Arazu V.A.; Nweze E.J.; Ozougwu V.E.; Nwanguma B.C.; Eze S.O.,Tropical Journal of Natural Product Research,10.26538/tjnpr/v5i1.20,2021,Food and nutrition,,"Cajanus cajan, Mucuna pruriens, Vigna subterranea and Sphenostylis stenocarpa"
141,Metabolite Fingerprinting of Kersting's Groundnut [Macrotyloma geocarpum (Harms) Maréchal & Baudet] Seeds Using UPLC-qTOF-MS Reveals the Nutraceutical and Antioxidant Potentials of the Orphan Legume,Tsamo A.T.; Mohammed M.; Dakora F.D.,Frontiers in Nutrition,10.3389/fnut.2020.593436,2020,Food and nutrition,Kersting's groundnut,Macrotyloma geocarpum (Harms) Marechal & Baudet
142,Underutilized horse chestnut (Aesculus indica) flour and its utilization for the development of gluten-free pasta,Rafiq S.I.; Muzaffar K.; Rafiq S.M.; Saxena D.C.; Dar B.N.,Italian Journal of Food Science,10.15586/IJFS.V33ISP1.2088,2021,Food and nutrition,Horse chestnut,Aesculus indica
143,"Proximate, mineral, and anti-nutrient compositions of underutilized plants of Ethiopia: Figl (Raphanus sativus L.), Girgir (Eruca sativa L) and Karkade (Hibiscus sabdariffa): Implications for in-vitro mineral bioavailability",Olika Keyata E.; Tola Y.B.; Bultosa G.; Fikreyesus Forsido S.,Food Research International,10.1016/j.foodres.2020.109724,2020,Food and nutrition,Karkade,Hibiscus sabdariffa
144,"Genetic and Genomic Resources in Rice Bean (Vigna umbellata Thunb.): Availability, Advancements, and Applications",Zargar S.A.; Fayaz H.; Wani A.A.; Saggoo M.I.S.; Mir R.A.; Mir R.R.,Neglected and Underutilized Crops-Towards Nutritional Security and Sustainability,10.1007/978-981-16-3876-3_9,2021,Food and nutrition,Rice bean ,Vigna umbellata Thunb.
145,"Bioactive compounds, antioxidant capacity and antitumoral activity of ethanolic extracts from fruits and seeds of Eugenia involucrata DC",Girardelo J.R.; Munari E.L.; Dallorsoleta J.C.S.; Cechinel G.; Goetten A.L.F.; Sales L.R.; Reginatto F.H.; Chaves V.C.; Smaniotto F.A.; Somacal S.; Emanuelli T.; Benech J.C.; Soldi C.; Winter E.; Conterato G.M.M.,Food Research International,10.1016/j.foodres.2020.109615,2020,Food and nutrition,,Eugenia involucrata DC. 
146,Finger Millet: A Crop with Food Security Potentials for Africans,Okolo J.C.; Adejumo B.A.,Food Security and Safety: African Perspectives,10.1007/978-3-030-50672-8_7,2021,Food and nutrition,Finger millet,Eleusine coracana (L.) Gaertner
147,Acetic acid buffer as extraction medium for free and bound phenolics from dried blackcurrant (Ribes nigrum L.) skins,Azman E.M.; Charalampopoulos D.; Chatzifragkou A.,Journal of Food Science,10.1111/1750-3841.15466,2020,Food and nutrition,Blackcurrant,Ribes nigrum L.
148,Chemical Characterisation-Biological Evaluation of Greek Cultivar Cardoon Seeds (Cynara cardunculus)A By-product with Potential High Added Value,Graikou K.; Kourti P.-M.; Zengin G.; Gortzi O.; Danalatos N.; Chinou I.,Planta Medica,10.1055/a-1472-6336,2021,Food and nutrition,Cardoon,Cynara cardunculus
149,"Lupin protein: Isolation and techno-functional properties, a review",Lo B.; Kasapis S.; Farahnaky A.,Food Hydrocolloids,10.1016/j.foodhyd.2020.106318,2021,Food and nutrition,Lupin,
150,Isolation and Identification of Endophytic Fungi in Kernels of Coix lachrymal-jobi L. Cultivars,Li G.-R.; Cao B.-H.; Liu W.; Ren R.-H.; Feng J.; Lv D.-J.,Current Microbiology,10.1007/s00284-020-01950-3,2020,Food and nutrition,,Coix lachrymal-jobi L.
151,"Lablab purpureus (L) bean flour ameliorates plasma proteins and accretion of docosahexaenoic acid (DHA, 22:6, ?-3) in the plasma, liver, and brain of malnourished rats",Hossain S.; Ahmed R.; Bhowmick S.; Sarkar M.; Nahar T.; Uddin B.; Basunia M.; Al Mamun A.; Hashimoto M.; Shido O.,Legume Science,10.1002/leg3.34,2020,Food and nutrition,,Lablab purpureus (L)
